machine_type,maintenance_interval,operating_mode,environment,vibration_level_mm_s,temperature_F,pressure_PSI,load_factor,days_to_failure
Pump,65,Overload,Dusty,3.7,76.9,81,0.39,13.5
Compressor,144,Production,Outdoor,2.4,81.5,79,0.66,31.4
Compressor,96,Production,Dusty,2.0,53.2,125,0.33,51.4
Motor,66,Overload,Indoor,3.4,73.5,62,0.27,9.0
Motor,60,Idle,Outdoor,0.8,58.0,72,0.16,96.4
Compressor,168,Production,Dusty,2.4,84.3,68,0.33,59.9
Pump,120,Overload,Dusty,3.3,53.8,129,0.76,15.7
Motor,165,Production,Indoor,2.4,75.3,135,0.8,68.1
Pump,94,Idle,Dusty,0.9,59.7,128,0.64,83.1
Motor,116,Idle,Dusty,0.5,80.5,72,0.64,98.5
Compressor,104,Idle,Indoor,0.8,87.0,129,0.53,95.4
Motor,140,Production,Outdoor,1.8,58.3,131,0.29,51.7
Motor,132,Production,Outdoor,2.1,80.4,79,0.15,53.3
Motor,87,Production,Dusty,1.8,77.8,93,0.44,43.4
Motor,124,Overload,Indoor,3.5,75.0,92,0.8,13.2
Pump,176,Production,Indoor,1.5,66.9,71,0.65,67.8
Compressor,66,Overload,Outdoor,2.7,75.4,93,0.11,20.3
Compressor,138,Idle,Indoor,0.9,81.4,115,0.3,106.9
Pump,152,Idle,Indoor,0.8,93.7,76,0.2,107.9
Compressor,78,Production,Outdoor,2.3,70.2,98,0.11,48.1
Compressor,107,Production,Outdoor,1.9,53.3,130,0.41,62.1
Pump,108,Idle,Indoor,0.8,72.5,101,0.89,113.9
Compressor,62,Idle,Outdoor,0.7,86.5,108,0.67,92.8
Compressor,166,Overload,Dusty,3.1,69.0,126,0.77,5.9
Pump,179,Idle,Dusty,0.3,52.4,106,0.44,112.2
Compressor,155,Production,Outdoor,2.3,87.9,61,0.27,60.1
Compressor,151,Idle,Outdoor,0.6,87.5,132,0.71,106.5
Motor,160,Overload,Indoor,3.1,81.6,72,0.48,20.5
Compressor,116,Idle,Indoor,0.8,60.7,93,0.83,95.4
Motor,109,Overload,Dusty,2.8,91.1,112,0.74,6.5
Motor,126,Production,Outdoor,2.2,61.3,102,0.76,40.6
Compressor,81,Idle,Outdoor,0.8,83.1,125,0.72,88.7
Motor,160,Overload,Indoor,4.0,71.6,62,0.31,20.7
Compressor,64,Production,Outdoor,1.9,83.3,85,0.82,65.5
Compressor,163,Overload,Indoor,3.3,91.3,127,0.3,19.7
Compressor,79,Production,Dusty,2.2,96.7,124,0.64,68.7
Compressor,75,Overload,Indoor,4.0,65.9,136,0.81,9.8
Compressor,107,Idle,Indoor,0.8,61.6,61,0.71,102.6
Compressor,138,Production,Dusty,2.2,50.3,135,0.43,42.4
Pump,88,Idle,Dusty,0.7,86.7,114,0.21,103.2
Compressor,169,Idle,Outdoor,0.5,67.1,102,0.27,103.9
Motor,172,Overload,Outdoor,3.2,85.8,107,0.14,14.9
Motor,141,Overload,Dusty,3.7,96.3,110,0.14,12.2
Motor,81,Overload,Dusty,3.5,87.4,124,0.43,18.0
Pump,105,Production,Outdoor,2.0,53.0,114,0.12,56.7
Motor,79,Overload,Outdoor,3.5,95.5,111,0.86,21.8
Motor,125,Idle,Outdoor,0.4,79.2,107,0.38,102.9
Motor,89,Production,Indoor,2.2,80.3,130,0.81,32.7
Compressor,170,Production,Dusty,2.1,86.9,82,0.74,50.1
Pump,170,Overload,Dusty,2.8,98.7,97,0.78,9.3
Pump,178,Production,Indoor,1.6,83.5,131,0.34,43.9
Motor,93,Production,Dusty,1.9,73.5,81,0.18,32.8
Motor,99,Overload,Dusty,2.7,89.9,86,0.34,24.5
Pump,95,Production,Indoor,1.5,65.1,138,0.24,63.1
Compressor,179,Overload,Dusty,3.7,54.9,126,0.67,6.5
Motor,69,Production,Outdoor,2.3,65.6,60,0.24,35.5
Compressor,165,Overload,Indoor,2.6,85.8,82,0.39,14.2
Compressor,135,Production,Indoor,2.2,93.1,85,0.53,53.0
Motor,150,Overload,Indoor,3.3,74.5,119,0.49,20.3
Compressor,107,Production,Outdoor,2.3,56.2,115,0.43,44.5
Pump,160,Production,Outdoor,2.4,78.4,106,0.49,65.6
Pump,136,Overload,Dusty,3.1,57.1,105,0.25,24.4
Motor,157,Production,Outdoor,2.4,80.2,106,0.55,49.6
Compressor,69,Production,Dusty,1.6,94.7,86,0.68,45.0
Pump,100,Idle,Dusty,0.9,60.9,129,0.3,87.0
Motor,173,Production,Indoor,2.3,81.4,120,0.22,54.9
Motor,131,Idle,Outdoor,0.7,97.4,135,0.59,88.0
Compressor,160,Overload,Indoor,2.9,88.6,116,0.59,23.2
Compressor,72,Production,Outdoor,1.9,69.9,126,0.24,53.9
Pump,99,Idle,Dusty,0.8,80.8,132,0.51,81.8
Motor,92,Overload,Indoor,2.7,71.9,127,0.23,17.5
Compressor,71,Overload,Indoor,3.6,88.7,133,0.25,9.3
Motor,121,Overload,Dusty,2.8,87.5,70,0.72,12.6
Compressor,115,Production,Outdoor,2.2,68.3,85,0.7,52.6
Compressor,174,Overload,Dusty,3.3,64.6,86,0.34,20.5
Motor,78,Overload,Outdoor,3.5,64.8,109,0.58,16.9
Motor,72,Production,Outdoor,1.8,85.8,116,0.6,41.3
Motor,163,Production,Dusty,2.3,92.5,67,0.89,41.1
Motor,63,Idle,Outdoor,1.0,53.1,67,0.23,87.4
Pump,93,Overload,Dusty,2.7,62.3,97,0.63,24.4
Compressor,126,Production,Indoor,2.1,55.7,135,0.73,40.9
Motor,106,Overload,Outdoor,2.8,92.8,88,0.71,18.3
Motor,148,Overload,Outdoor,2.9,59.2,87,0.44,7.1
Pump,156,Idle,Outdoor,0.9,84.1,135,0.21,86.9
Pump,64,Overload,Outdoor,3.2,95.1,87,0.69,8.3
Motor,163,Overload,Dusty,3.9,85.0,92,0.55,21.4
Pump,168,Idle,Indoor,0.4,73.2,69,0.88,90.2
Motor,124,Idle,Dusty,0.5,82.9,102,0.18,115.8
Pump,113,Production,Outdoor,2.3,89.7,62,0.73,59.9
Pump,135,Overload,Indoor,2.7,72.9,78,0.59,7.3
Motor,80,Idle,Dusty,0.4,91.0,98,0.38,107.6
Motor,72,Production,Indoor,2.3,91.7,88,0.83,43.1
Pump,74,Overload,Outdoor,2.8,88.1,122,0.32,12.6
Motor,108,Overload,Dusty,2.5,76.6,62,0.48,18.6
Motor,63,Production,Indoor,1.7,96.4,127,0.28,56.3
Compressor,167,Overload,Dusty,3.3,53.8,88,0.54,20.5
Pump,76,Production,Dusty,2.3,62.8,68,0.38,62.6
Pump,171,Idle,Dusty,0.7,69.8,74,0.23,101.5
Pump,125,Production,Dusty,1.7,54.8,85,0.87,38.8
Compressor,179,Overload,Dusty,3.9,69.0,85,0.33,9.4
Pump,176,Production,Indoor,2.3,69.9,95,0.81,51.3
Motor,169,Overload,Indoor,3.7,95.8,80,0.78,15.8
Motor,171,Production,Dusty,2.0,78.0,126,0.67,42.3
Pump,91,Overload,Outdoor,3.1,91.0,95,0.21,19.6
Compressor,165,Production,Dusty,2.3,99.9,75,0.47,40.6
Compressor,133,Production,Dusty,1.6,94.4,93,0.5,67.5
Pump,179,Overload,Dusty,3.1,87.9,131,0.17,8.2
Pump,137,Production,Dusty,1.8,80.1,73,0.29,62.2
Compressor,178,Overload,Indoor,3.7,61.6,129,0.84,24.0
Pump,174,Production,Outdoor,2.4,92.9,118,0.86,38.5
Motor,135,Idle,Indoor,0.9,78.3,60,0.15,92.3
Compressor,122,Overload,Dusty,3.6,75.7,75,0.17,10.4
Pump,140,Idle,Indoor,0.9,54.4,67,0.25,112.2
Motor,82,Production,Outdoor,1.8,87.6,64,0.49,64.8
Compressor,105,Idle,Dusty,0.8,60.8,76,0.34,99.4
Motor,122,Overload,Outdoor,2.7,70.4,114,0.15,8.0
Pump,102,Production,Outdoor,1.9,98.8,87,0.37,57.9
Compressor,97,Overload,Outdoor,2.9,93.8,123,0.21,9.6
Motor,134,Production,Indoor,1.9,54.1,62,0.89,36.3
Compressor,127,Idle,Dusty,1.0,58.5,88,0.71,86.2
Pump,91,Idle,Outdoor,0.9,71.7,95,0.6,91.6
Compressor,176,Idle,Dusty,0.7,84.5,125,0.54,105.8
Compressor,140,Overload,Indoor,2.5,74.6,75,0.62,21.4
Compressor,85,Idle,Dusty,0.8,99.0,113,0.78,90.1
Motor,108,Overload,Outdoor,3.5,78.8,94,0.32,16.9
Motor,99,Idle,Indoor,0.3,81.3,119,0.27,98.6
Pump,143,Idle,Outdoor,0.8,52.2,118,0.37,88.5
Pump,135,Production,Outdoor,2.1,50.7,66,0.31,46.5
Motor,86,Overload,Outdoor,3.4,83.2,137,0.14,13.5
Pump,69,Idle,Outdoor,0.7,54.5,108,0.37,102.6
Pump,95,Production,Outdoor,1.9,76.3,115,0.82,35.7
Motor,97,Idle,Dusty,0.5,62.7,120,0.17,113.5
Motor,162,Idle,Dusty,0.8,52.1,114,0.82,105.3
Compressor,103,Overload,Indoor,3.3,91.6,133,0.62,11.9
Compressor,137,Idle,Dusty,0.9,94.6,61,0.36,105.8
Pump,143,Overload,Dusty,2.7,94.9,104,0.75,6.8
Compressor,148,Overload,Dusty,3.1,74.0,71,0.16,17.1
Pump,113,Overload,Outdoor,4.0,53.3,131,0.47,13.9
Pump,125,Overload,Indoor,3.0,93.0,107,0.66,11.1
Compressor,167,Idle,Indoor,0.7,62.8,124,0.44,85.1
Pump,72,Overload,Indoor,3.6,64.2,95,0.59,17.4
Motor,149,Production,Dusty,1.7,73.9,106,0.53,39.0
Compressor,154,Overload,Dusty,3.7,61.7,111,0.76,24.5
Motor,105,Production,Outdoor,2.0,82.6,72,0.88,40.9
Compressor,70,Overload,Dusty,2.7,73.3,75,0.66,22.9
Pump,105,Production,Indoor,1.8,65.8,64,0.71,67.7
Compressor,155,Production,Indoor,1.8,83.8,84,0.4,68.7
Compressor,170,Idle,Indoor,0.5,68.9,64,0.37,84.8
Pump,126,Production,Outdoor,1.7,67.7,92,0.19,56.3
Compressor,112,Idle,Outdoor,0.6,82.4,64,0.75,95.5
Pump,100,Production,Outdoor,2.2,73.9,108,0.57,35.4
Pump,119,Production,Outdoor,2.4,51.9,109,0.66,41.9
Pump,94,Idle,Indoor,0.3,62.7,83,0.52,94.5
Motor,87,Overload,Indoor,3.3,57.2,72,0.45,23.2
Motor,107,Idle,Dusty,0.4,75.1,76,0.35,117.6
Motor,149,Production,Indoor,2.1,59.8,114,0.36,63.1
Motor,103,Production,Outdoor,2.5,73.5,93,0.9,37.1
Pump,71,Production,Outdoor,2.2,80.9,87,0.8,49.3
Pump,74,Overload,Outdoor,2.8,82.2,90,0.14,16.3
Motor,96,Overload,Outdoor,2.8,72.1,63,0.76,14.2
Pump,147,Overload,Outdoor,3.4,60.9,134,0.47,12.1
Compressor,73,Overload,Dusty,3.4,80.3,77,0.6,13.3
Pump,146,Idle,Indoor,0.3,88.2,101,0.28,112.8
Compressor,170,Overload,Dusty,3.1,59.2,76,0.41,17.5
Pump,78,Production,Dusty,1.9,69.1,127,0.22,64.2
Compressor,75,Overload,Indoor,2.6,99.7,76,0.31,6.4
Motor,157,Idle,Indoor,0.3,95.1,101,0.46,83.9
Pump,148,Production,Outdoor,2.4,58.5,70,0.2,63.7
Compressor,65,Production,Dusty,1.7,86.4,63,0.84,44.3
Compressor,116,Overload,Dusty,3.3,66.6,121,0.43,6.5
Compressor,85,Idle,Outdoor,0.3,86.4,85,0.41,119.5
Motor,170,Idle,Outdoor,0.4,83.9,103,0.48,82.0
Compressor,114,Overload,Dusty,3.7,92.2,85,0.65,13.7
Pump,124,Production,Dusty,2.3,87.0,108,0.11,39.0
Compressor,92,Overload,Dusty,3.0,76.1,65,0.24,19.6
Compressor,99,Idle,Outdoor,0.8,70.1,101,0.9,85.6
Compressor,178,Overload,Outdoor,3.1,94.0,132,0.89,7.7
Compressor,102,Idle,Dusty,0.5,70.9,88,0.58,92.1
Compressor,82,Overload,Dusty,2.9,78.5,76,0.69,18.1
Compressor,65,Overload,Dusty,3.0,84.7,105,0.74,20.6
Pump,146,Production,Indoor,2.0,95.6,64,0.66,35.2
Motor,134,Production,Indoor,1.8,62.1,67,0.35,30.3
Compressor,156,Production,Dusty,2.4,81.3,104,0.43,37.0
Pump,104,Idle,Indoor,0.5,93.1,106,0.81,105.7
Pump,75,Production,Outdoor,2.1,95.7,105,0.24,62.3
Motor,93,Production,Indoor,1.7,77.8,107,0.44,61.6
Motor,69,Idle,Outdoor,0.4,85.7,106,0.11,83.5
Compressor,99,Idle,Indoor,0.9,65.4,83,0.31,80.6
Compressor,64,Overload,Dusty,2.7,83.2,114,0.85,22.7
Pump,67,Production,Dusty,2.2,52.5,78,0.82,38.3
Motor,72,Idle,Indoor,0.3,83.7,79,0.71,116.1
Compressor,162,Overload,Dusty,3.0,54.2,90,0.4,13.2
Motor,79,Idle,Dusty,0.8,56.5,113,0.68,107.7
Compressor,117,Overload,Dusty,3.4,71.4,111,0.7,19.5
Motor,170,Overload,Outdoor,3.1,89.2,132,0.4,5.1
Motor,108,Idle,Dusty,0.5,97.8,90,0.37,110.6
Compressor,131,Idle,Outdoor,0.9,65.8,124,0.8,90.7
Motor,93,Overload,Indoor,3.9,95.6,67,0.78,22.4
Compressor,85,Production,Dusty,1.8,56.0,84,0.74,50.0
Pump,113,Production,Dusty,1.5,87.6,124,0.86,47.8
Pump,88,Production,Dusty,2.4,54.1,111,0.6,35.3
Compressor,60,Overload,Dusty,2.8,60.9,67,0.26,6.1
Motor,122,Overload,Indoor,3.8,75.6,108,0.47,16.0
Compressor,121,Idle,Dusty,1.0,91.9,113,0.66,117.3
Compressor,141,Overload,Outdoor,2.7,65.3,86,0.16,11.1
Compressor,62,Overload,Outdoor,3.5,97.1,83,0.72,17.6
Pump,72,Idle,Indoor,0.4,52.8,80,0.52,80.4
Pump,178,Idle,Dusty,0.7,56.1,93,0.15,97.6
Motor,148,Overload,Outdoor,2.9,70.8,93,0.73,6.5
Pump,102,Overload,Indoor,3.8,63.8,63,0.84,22.1
Compressor,148,Overload,Indoor,3.0,63.0,60,0.4,16.9
Pump,125,Idle,Indoor,0.4,77.7,101,0.33,96.7
Motor,156,Production,Outdoor,1.7,86.1,78,0.66,34.8
Pump,87,Idle,Outdoor,0.5,55.5,62,0.9,95.0
Pump,72,Production,Outdoor,1.6,72.6,119,0.65,37.6
Compressor,113,Idle,Dusty,0.7,51.6,102,0.13,114.5
Motor,145,Overload,Outdoor,3.2,76.9,139,0.79,24.7
Pump,106,Overload,Outdoor,2.9,61.7,125,0.37,15.7
Pump,172,Overload,Dusty,2.5,59.2,94,0.15,11.2
Compressor,143,Overload,Outdoor,3.0,74.6,86,0.19,13.8
Motor,76,Overload,Outdoor,3.0,66.0,73,0.73,19.2
Pump,103,Production,Outdoor,2.2,95.5,75,0.76,41.3
Pump,150,Idle,Indoor,0.4,93.0,73,0.78,86.9
Motor,123,Production,Dusty,2.0,50.7,124,0.88,60.8
Motor,168,Idle,Outdoor,0.5,77.2,72,0.65,91.6
Motor,81,Production,Indoor,1.7,82.3,72,0.54,47.9
Pump,82,Production,Dusty,2.3,63.7,136,0.86,38.8
Compressor,123,Production,Dusty,2.2,97.4,71,0.71,58.0
Motor,88,Idle,Outdoor,0.7,88.4,110,0.61,104.8
Compressor,117,Idle,Dusty,1.0,90.4,65,0.37,116.7
Motor,130,Production,Outdoor,2.2,79.8,125,0.41,67.1
Compressor,101,Idle,Dusty,0.6,82.1,108,0.66,118.7
Motor,118,Overload,Outdoor,3.6,73.6,90,0.51,19.3
Motor,122,Idle,Outdoor,0.5,65.8,64,0.59,107.4
Motor,179,Overload,Indoor,2.6,54.5,132,0.1,9.0
Pump,76,Idle,Indoor,0.5,78.5,106,0.67,112.5
Motor,168,Idle,Indoor,0.7,59.8,73,0.83,115.4
Pump,154,Production,Outdoor,1.7,75.1,106,0.56,65.6
Pump,178,Idle,Dusty,0.5,54.4,98,0.65,100.0
Pump,62,Production,Outdoor,2.5,95.9,104,0.34,47.8
Pump,114,Idle,Outdoor,0.5,68.2,123,0.85,109.0
Pump,113,Overload,Outdoor,3.0,72.3,61,0.15,15.9
Motor,75,Production,Dusty,2.1,87.5,103,0.26,48.6
Compressor,126,Overload,Indoor,3.2,69.8,109,0.74,5.5
Pump,137,Idle,Outdoor,0.9,72.3,69,0.26,101.0
Pump,82,Production,Indoor,1.5,92.0,104,0.22,44.3
Motor,159,Overload,Outdoor,3.9,78.7,87,0.62,14.8
Motor,71,Production,Dusty,2.0,80.7,86,0.25,37.1
Compressor,160,Overload,Dusty,3.0,92.4,74,0.44,22.4
Pump,74,Production,Dusty,2.2,59.8,76,0.13,61.6
Motor,147,Idle,Indoor,0.9,71.8,136,0.68,108.2
Pump,69,Production,Outdoor,2.0,55.1,123,0.75,40.4
Pump,157,Idle,Outdoor,0.7,85.6,131,0.57,104.0
Motor,65,Overload,Indoor,3.9,83.3,109,0.58,20.2
Pump,159,Idle,Outdoor,0.6,90.7,80,0.72,91.2
Motor,173,Production,Indoor,1.9,90.3,70,0.16,56.3
Motor,97,Overload,Outdoor,3.3,93.1,85,0.78,11.6
Motor,97,Production,Dusty,1.5,54.3,137,0.51,52.1
Pump,118,Idle,Outdoor,0.5,53.7,68,0.77,98.3
Motor,91,Production,Outdoor,1.7,78.8,69,0.13,50.2
Compressor,163,Production,Indoor,1.9,92.2,80,0.44,58.8
Pump,177,Production,Outdoor,2.1,66.6,85,0.19,64.4
Compressor,125,Idle,Outdoor,0.4,78.2,101,0.33,110.7
Pump,153,Idle,Dusty,0.5,60.1,81,0.24,105.2
Pump,171,Production,Indoor,1.6,58.2,65,0.35,49.4
Motor,135,Overload,Outdoor,3.8,50.8,137,0.4,16.2
Compressor,85,Production,Outdoor,2.2,78.8,70,0.57,30.4
Pump,134,Idle,Outdoor,0.6,86.0,81,0.35,115.2
Compressor,74,Overload,Indoor,2.8,68.6,76,0.66,23.2
Pump,168,Idle,Indoor,0.3,99.2,76,0.2,93.0
Compressor,112,Production,Outdoor,2.3,51.7,95,0.75,47.0
Motor,175,Idle,Outdoor,0.4,81.1,69,0.88,101.5
Motor,137,Production,Dusty,2.3,96.9,82,0.37,67.7
Motor,102,Idle,Indoor,0.8,61.8,84,0.42,117.2
Compressor,77,Production,Indoor,1.8,70.3,79,0.6,42.2
Compressor,122,Idle,Indoor,0.9,66.3,120,0.42,87.2
Motor,139,Idle,Indoor,0.4,64.5,89,0.63,89.7
Compressor,105,Idle,Outdoor,0.6,83.7,61,0.37,82.3
Pump,127,Overload,Dusty,3.1,62.8,134,0.2,19.0
Compressor,102,Production,Outdoor,1.5,92.8,97,0.39,44.7
Motor,167,Idle,Outdoor,0.9,98.3,115,0.17,114.6
Compressor,144,Idle,Dusty,1.0,93.7,77,0.23,97.1
Pump,138,Overload,Indoor,3.7,73.5,128,0.34,11.2
Compressor,168,Production,Dusty,1.7,50.5,66,0.4,50.5
Motor,100,Production,Indoor,1.8,52.6,96,0.3,69.5
Pump,151,Overload,Indoor,4.0,64.1,74,0.13,6.0
Motor,154,Idle,Indoor,0.3,96.8,96,0.33,80.8
Pump,121,Production,Indoor,1.5,89.6,138,0.3,60.5
Motor,150,Overload,Indoor,3.8,97.3,64,0.84,22.9
Pump,77,Production,Dusty,1.8,64.1,82,0.42,68.4
Compressor,164,Idle,Dusty,0.7,86.5,88,0.15,112.8
Compressor,129,Idle,Dusty,0.9,62.9,87,0.74,98.9
Compressor,177,Idle,Dusty,0.9,80.5,135,0.73,117.9
Compressor,76,Overload,Indoor,2.9,99.8,83,0.53,14.0
Motor,84,Idle,Indoor,0.9,52.9,127,0.15,83.9
Motor,116,Overload,Dusty,2.7,80.6,89,0.72,10.9
Pump,74,Overload,Indoor,2.5,75.7,123,0.37,22.9
Motor,106,Idle,Dusty,0.4,50.5,111,0.51,110.0
Motor,98,Production,Indoor,2.3,78.5,129,0.57,33.2
Motor,118,Production,Dusty,2.2,79.1,117,0.2,45.6
Motor,63,Overload,Dusty,3.9,98.3,95,0.36,10.0
Pump,97,Overload,Dusty,2.8,52.5,90,0.38,10.3
Motor,101,Idle,Outdoor,0.3,88.2,101,0.72,117.9
Compressor,121,Overload,Indoor,3.4,85.8,108,0.17,24.7
Pump,117,Overload,Dusty,2.5,60.5,127,0.12,14.8
Compressor,145,Production,Outdoor,1.9,97.7,65,0.26,42.4
Motor,162,Idle,Indoor,0.7,63.6,120,0.68,101.8
Motor,63,Idle,Dusty,0.5,70.9,95,0.34,94.7
Pump,99,Production,Indoor,1.9,92.9,127,0.39,40.7
Pump,164,Idle,Outdoor,0.4,50.5,92,0.36,89.3
Compressor,114,Overload,Dusty,3.8,64.7,95,0.68,13.9
Pump,168,Overload,Indoor,4.0,95.8,72,0.7,9.5
Motor,70,Idle,Outdoor,0.3,94.5,105,0.61,90.4
Pump,130,Production,Indoor,1.9,65.5,74,0.5,31.1
Compressor,98,Idle,Indoor,0.3,72.8,73,0.34,97.8
Motor,143,Production,Indoor,2.3,71.9,63,0.5,62.3
Compressor,64,Idle,Dusty,0.8,91.2,66,0.79,98.3
Motor,107,Overload,Outdoor,2.9,61.0,68,0.57,15.9
Pump,139,Production,Dusty,2.4,95.5,94,0.2,51.1
Compressor,85,Idle,Dusty,0.4,56.8,80,0.41,84.5
Motor,107,Overload,Dusty,3.7,78.6,134,0.79,24.4
Compressor,179,Production,Indoor,1.8,96.5,61,0.66,69.9
Motor,105,Overload,Outdoor,2.8,53.3,125,0.62,13.2
Compressor,60,Idle,Indoor,0.7,87.6,107,0.27,101.6
Motor,128,Production,Indoor,2.3,71.3,97,0.84,58.1
Pump,108,Production,Dusty,1.8,98.6,88,0.48,45.9
Motor,161,Production,Dusty,2.3,63.4,85,0.2,60.0
Compressor,111,Overload,Dusty,2.7,94.5,95,0.47,5.2
Motor,117,Idle,Outdoor,0.9,71.1,127,0.8,109.5
Pump,131,Idle,Dusty,0.7,81.6,61,0.68,87.7
Pump,171,Production,Indoor,2.1,54.6,120,0.57,55.3
Compressor,100,Idle,Indoor,0.4,50.9,63,0.56,82.3
Pump,150,Production,Indoor,2.5,51.3,118,0.6,51.7
Motor,95,Overload,Indoor,3.5,56.3,70,0.64,22.9
Motor,111,Idle,Indoor,0.7,55.3,125,0.56,83.1
Motor,146,Production,Outdoor,2.3,52.8,119,0.78,32.8
Pump,175,Idle,Indoor,0.3,79.0,73,0.67,97.3
Pump,85,Overload,Indoor,2.8,60.6,71,0.71,17.4
Compressor,157,Overload,Dusty,3.5,91.6,99,0.83,9.7
Motor,157,Idle,Dusty,0.6,95.3,64,0.77,119.4
Motor,92,Overload,Indoor,3.9,97.4,76,0.59,10.3
Pump,60,Production,Dusty,2.2,65.2,67,0.22,37.6
Pump,110,Idle,Outdoor,0.7,72.6,118,0.77,100.5
Motor,81,Idle,Outdoor,0.4,83.9,114,0.6,85.0
Pump,139,Overload,Dusty,2.7,57.0,93,0.37,8.4
Compressor,156,Production,Dusty,2.2,61.3,70,0.81,57.0
Pump,141,Production,Indoor,1.6,71.5,95,0.35,61.2
Compressor,140,Idle,Indoor,0.4,93.7,118,0.3,98.0
Pump,173,Production,Outdoor,1.8,67.5,85,0.73,66.5
Pump,108,Overload,Dusty,3.1,61.8,112,0.42,17.5
Motor,141,Production,Outdoor,1.7,63.5,125,0.9,31.8
Pump,151,Production,Indoor,1.6,54.2,121,0.6,46.5
Pump,126,Idle,Outdoor,1.0,60.7,122,0.26,118.6
Motor,62,Idle,Outdoor,0.4,75.7,116,0.82,93.7
Pump,177,Overload,Indoor,3.7,82.9,118,0.73,10.6
Motor,103,Production,Outdoor,1.8,86.6,73,0.39,49.3
Motor,114,Idle,Dusty,0.7,99.8,97,0.75,85.1
Pump,101,Idle,Indoor,0.5,85.7,79,0.83,95.6
Motor,103,Production,Outdoor,1.6,63.9,95,0.38,33.7
Pump,170,Idle,Indoor,0.5,59.6,117,0.63,100.2
Compressor,86,Overload,Outdoor,3.6,71.8,102,0.26,7.9
Compressor,160,Idle,Dusty,0.6,63.5,138,0.41,108.7
Pump,85,Idle,Indoor,0.6,62.9,129,0.64,82.8
Pump,89,Overload,Outdoor,2.6,67.9,139,0.48,19.0
Motor,105,Idle,Outdoor,0.4,72.6,117,0.57,91.6
Motor,129,Production,Outdoor,1.6,66.8,136,0.53,38.7
Compressor,163,Overload,Outdoor,3.5,96.5,96,0.25,23.0
Motor,84,Overload,Indoor,2.8,96.7,134,0.2,8.3
Motor,178,Overload,Indoor,2.6,85.7,94,0.35,24.7
Pump,60,Idle,Dusty,1.0,50.2,93,0.18,91.6
Compressor,81,Idle,Dusty,0.5,84.2,76,0.29,89.9
Pump,102,Production,Outdoor,1.5,55.2,116,0.34,38.3
Motor,88,Overload,Dusty,4.0,82.5,119,0.13,22.2
Pump,97,Idle,Dusty,0.7,56.7,69,0.78,92.4
Pump,76,Overload,Dusty,3.1,84.5,87,0.27,20.4
Motor,146,Overload,Outdoor,3.7,57.4,135,0.25,9.0
Pump,98,Overload,Outdoor,2.7,70.0,138,0.53,15.8
Pump,86,Overload,Dusty,2.7,52.5,107,0.37,5.3
Pump,97,Idle,Outdoor,0.9,56.3,121,0.27,108.5
Compressor,64,Idle,Indoor,0.4,60.7,108,0.17,105.9
Motor,162,Overload,Indoor,3.3,51.6,69,0.6,6.5
Pump,131,Overload,Outdoor,2.8,83.5,125,0.31,19.7
Motor,155,Idle,Outdoor,0.9,63.1,129,0.2,114.2
Compressor,155,Production,Outdoor,1.5,84.8,67,0.32,54.6
Motor,66,Idle,Outdoor,0.8,52.2,83,0.46,112.1
Motor,138,Production,Indoor,2.2,53.9,75,0.48,60.4
Motor,78,Overload,Indoor,3.9,74.6,97,0.49,15.7
Pump,92,Production,Indoor,1.6,86.3,133,0.83,52.2
Motor,133,Idle,Indoor,0.7,55.3,122,0.24,102.3
Compressor,75,Production,Outdoor,1.8,67.8,95,0.87,31.4
Compressor,79,Idle,Indoor,0.4,60.3,116,0.12,99.9
Compressor,60,Overload,Indoor,3.2,60.2,119,0.14,10.7
Compressor,105,Production,Dusty,2.3,86.1,85,0.82,57.3
Motor,171,Production,Indoor,1.8,79.2,118,0.36,50.8
Pump,158,Production,Outdoor,1.6,83.6,64,0.19,66.6
Pump,171,Overload,Dusty,3.1,75.5,84,0.22,21.7
Pump,173,Overload,Dusty,3.5,53.9,61,0.18,9.0
Motor,174,Production,Dusty,2.4,73.6,138,0.69,55.5
Motor,73,Overload,Outdoor,3.7,70.2,139,0.24,8.4
Compressor,98,Overload,Indoor,2.6,87.2,117,0.21,6.3
Motor,82,Production,Indoor,2.0,94.4,64,0.46,66.9
Motor,77,Idle,Indoor,1.0,73.0,82,0.4,82.2
Compressor,71,Overload,Indoor,3.3,66.6,117,0.51,15.5
Motor,140,Overload,Outdoor,2.7,68.0,67,0.31,12.8
Compressor,138,Idle,Dusty,0.4,81.9,71,0.84,88.0
Compressor,82,Idle,Indoor,1.0,96.0,112,0.17,104.4
Motor,141,Idle,Outdoor,0.9,94.4,115,0.29,99.3
Compressor,122,Idle,Dusty,0.4,50.8,122,0.39,90.7
Motor,112,Overload,Outdoor,3.1,97.8,65,0.38,7.1
Compressor,167,Idle,Dusty,0.7,69.2,137,0.23,116.5
Compressor,120,Overload,Dusty,3.1,54.7,103,0.69,12.8
Motor,84,Overload,Outdoor,3.4,54.3,97,0.24,8.3
Compressor,78,Overload,Dusty,2.5,95.9,113,0.89,13.0
Pump,164,Production,Outdoor,2.0,92.1,100,0.89,50.8
Compressor,153,Overload,Outdoor,3.0,96.4,65,0.54,23.0
Motor,119,Production,Indoor,2.5,92.2,75,0.76,61.0
Pump,99,Overload,Indoor,3.3,55.1,102,0.17,6.2
Compressor,138,Idle,Indoor,0.4,99.6,115,0.34,95.6
